"SpCode","Taxa","Sp_CommonName","Sp_ScientificName","Fam_CommonName","FMP","FMP_BSAI","FMP_GOA","FMP_Arctic","FMP_Salmon","Fam_ScientificName"
"SCULSAIL","Fish","Sailfin sculpin","Nautichthys oculofasciatus","sailfin sculpins",0,0,0,0,0,"Hemitripteridae"
"SCULSCA","Fish","Scalyhead sculpin","Artedius harringtoni","sculpins",0,0,0,0,0,"Cottidae"
"SCULSHRN","Fish","Shorthorn sculpin","Myoxocephalus scorpius","sculpins",0,0,0,0,0,"Cottidae"
"SCULSHRP","Fish","Sharpnose sculpin","Clinocottus acuticeps","sculpins",0,0,0,0,0,"Cottidae"
"SCULSILV","Fish","Silverspotted sculpin","Blepsias cirrhosus","sailfin sculpins",0,0,0,0,0,"Hemitripteridae"
"SCULSLIM","Fish","Slim sculpin","Radulinus asprellus","sculpins",0,0,0,0,0,"Cottidae"
"SCULSMO","Fish","Smoothhead sculpin","Artedius lateralis","sculpins",0,0,0,0,0,"Cottidae"
"SCULSOFT","Fish","Soft sculpin","Psychrolutes sigalutes","fathead sculpins",0,0,0,0,0,"Psychrolutidae"
"SCULSPAT","Fish","Spatulate sculpin","Icelus spatula","sculpins",0,0,0,0,0,"Cottidae"
"SCULSPIN","Fish","Spinynose sculpin","Radulinus taylori","sculpins",0,0,0,0,0,"Cottidae"
"SCULSPNY","Fish","Spinyhead sculpin","Dasycottus setiger","fathead sculpins",0,0,0,0,0,"Psychrolutidae"
"SCULTAD","Fish","Tadpole sculpin","Psychrolutes paradoxus","fathead sculpins",0,0,0,0,0,"Psychrolutidae"
"SCULTHRD","Fish","Threaded sculpin","Gymnocanthus pistilliger","sculpins",0,0,0,0,0,"Cottidae"
"SCULTHRN","Fish","Thorny sculpin","Icelus spiniger","sculpins",0,0,0,0,0,"Cottidae"
"SCULTIDE","Fish","Tidepool sculpin","Oligocottus maculosus","sculpins",0,0,0,0,0,"Cottidae"
"SCULTRIG","Fish","unidentified Triglop sculpin","Triglops species","sculpins",0,0,0,0,0,"Cottidae"
"SCULWRTY","Fish","Warty sculpin","Myoxocephalus verrucosus","sculpins",0,0,0,0,0,"Cottidae"
"SDABPAC","Fish","Pacific sanddab","Citharichthys sordidus","sand flounders",1,1,1,0,0,"Paralichthyidae"
"SDABSPKL","Fish","Speckled sanddab","Citharichthys stigmaeus","sand flounders",0,0,0,0,0,"Paralichthyidae"
